date,ticker
2016-10-31,VALE3
2016-10-31,VALE5
2016-10-31,VIVT3
2016-10-31,WEGE3
2016-10-31,YDUQ3
2016-11-30,ABEV3
2016-11-30,AMER3
2016-11-30,B3SA3
2016-11-30,BBAS3
2016-11-30,BBDC3
2016-11-30,BBDC4
2016-11-30,BBSE3
2016-11-30,BRAP4
2016-11-30,BRFS3
2016-11-30,BRKM5
2016-11-30,BRML3
2016-11-30,CCRO3
2016-11-30,CIEL3
2016-11-30,CMIG4
2016-11-30,COGN3
2016-11-30,CPFE3
2016-11-30,CPLE6
2016-11-30,CSAN3
2016-11-30,CSNA3
2016-11-30,CYRE3
2016-11-30,ECOR3
2016-11-30,EGIE3
2016-11-30,EMBR3
2016-11-30,ENBR3
2016-11-30,EQTL3
2016-11-30,FIBR3
2016-11-30,GGBR4
2016-11-30,GOAU4
2016-11-30,GOLL4
2016-11-30,HYPE3
2016-11-30,ITSA4
2016-11-30,ITUB4
2016-11-30,JBSS3
2016-11-30,KLBN11
2016-11-30,LREN3
2016-11-30,MRFG3
2016-11-30,MRVE3
2016-11-30,MULT3
2016-11-30,NTCO3
2016-11-30,PCAR3
2016-11-30,PETR3
2016-11-30,PETR4
2016-11-30,QUAL3
2016-11-30,RADL3
2016-11-30,RAIL3
2016-11-30,RENT3
2016-11-30,SANB11
2016-11-30,SBSP3
2016-11-30,SUZB3
2016-11-30,TIMS3
2016-11-30,UGPA3
2016-11-30,USIM5
2016-11-30,VALE3
2016-11-30,VALE5
2016-11-30,VIVT3
2016-11-30,WEGE3
2016-11-30,YDUQ3
2016-12-31,ABEV3
2016-12-31,AMER3
2016-12-31,B3SA3
2016-12-31,BBAS3
2016-12-31,BBDC3
2016-12-31,BBDC4
2016-12-31,BBSE3
2016-12-31,BRAP4
2016-12-31,BRFS3
2016-12-31,BRKM5
2016-12-31,BRML3
2016-12-31,CCRO3
2016-12-31,CIEL3
2016-12-31,CMIG4
2016-12-31,COGN3
2016-12-31,CPFE3
2016-12-31,CPLE6
2016-12-31,CSAN3
2016-12-31,CSNA3
2016-12-31,CYRE3
2016-12-31,ECOR3
2016-12-31,EGIE3
2016-12-31,EMBR3
2016-12-31,ENBR3
2016-12-31,EQTL3
2016-12-31,FIBR3
2016-12-31,GGBR4
2016-12-31,GOAU4
2016-12-31,GOLL4
2016-12-31,HYPE3
2016-12-31,ITSA4
2016-12-31,ITUB4
2016-12-31,JBSS3
2016-12-31,KLBN11
2016-12-31,LREN3
2016-12-31,MRFG3
2016-12-31,MRVE3
2016-12-31,MULT3
2016-12-31,NTCO3
2016-12-31,PCAR3
2016-12-31,PETR3
2016-12-31,PETR4
2016-12-31,QUAL3
2016-12-31,RADL3
2016-12-31,RAIL3
2016-12-31,RENT3
2016-12-31,SANB11
2016-12-31,SBSP3
2016-12-31,SUZB3
2016-12-31,TIMS3
2016-12-31,UGPA3
2016-12-31,USIM5
2016-12-31,VALE3
2016-12-31,VALE5
2016-12-31,VIVT3
2016-12-31,WEGE3
2016-12-31,YDUQ3
2017-01-31,ABEV3
2017-01-31,AMER3
2017-01-31,B3SA3
2017-01-31,BBAS3
2017-01-31,BBDC3
2017-01-31,BBDC4
2017-01-31,BBSE3
2017-01-31,BRAP4
2017-01-31,BRFS3
2017-01-31,BRKM5
2017-01-31,BRML3
2017-01-31,CCRO3
2017-01-31,CIEL3
2017-01-31,CMIG4
2017-01-31,COGN3
2017-01-31,CPFE3
2017-01-31,CPLE6
2017-01-31,CSAN3
2017-01-31,CSNA3
2017-01-31,CYRE3
2017-01-31,ECOR3
2017-01-31,EGIE3
2017-01-31,ELET3
